text,label
" https://www.voanews.com/science-health/coronavirus-outbreak/5-coronavirus-cases-confirmed-us …

5 Coronavirus Cases Confirmed in US

@CoronaVirusInfo @realDonaldTrump @CDCgov @XHNews @Xi_TheLeader",1
Please see my statement on the 2019 Novel Coronavirus  pic.twitter.com/3tCGEZdZqz,1
"Everything you need to know about travelling to, from and around China as coronavirus continues to spread  https://www.independent.co.uk/travel/news-and-advice/coronavirus-china-flights-cancel-leave-wuhan-outbreak-symptoms-virus-latest-a9302616.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1580080540 …",1
"Virginia health officials investigating three people, including one in northern Virginia, for coronavirus  http://bit.ly/2RqHUsV ",1
Officials confirm five U.S. cases of coronavirus after China travel  https://reut.rs/2RsXrIC  pic.twitter.com/j8IrFvQugB,1
Coronavirus reaches the U.S. (California)  https://www.star945.com/news/national/coronavirus-outbreak-3rd-case-confirmed-california-health-officials-say/ErTo3ySMyHokYn6tIF1gAL/ …,1
Saudi energy minsiter says closely monitoring global oil market amid coronavirus outbreak  https://sptnkne.ws/BhUH ,1
Officials confirm five U.S. cases of coronavirus after China travel  https://www.reuters.com/article/us-china-health-usa-california-idUSKBN1ZP0AA?taid=5e2e213b0f91f60001a245cb&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter … pic.twitter.com/qDDb6SczEy,1
"Flu varies. If you look just at flu pneumonia, one study found 10% fatality. We don't yet know the spectrum of new coronavirus disease so it's really too early to make claims until we have an idea about mild and moderate disease cases.",1
Canada's first coronavirus patient had symptoms on flight from China  https://reut.rs/2RtgYc9  pic.twitter.com/jOAJVrg425,1
"BREAKING: China's National Health Commission reports 304 new cases of coronavirus, adding to 371 cases reported at the epicenter 1 hour ago https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/ …",1
Fifth US case of coronavirus confirmed  https://www.koat.com/article/fifth-us-case-of-coronavirus-confirmed/30667291 …,1
"""Los Angeles and Orange County health officials are dealing with their first cases of a patient with the new strain of coronavirus."" @latimes @phila_lex @Emily_Baum
#Virus #Coronavirus #PublicHealth #DepartmentofPublicHealth #CDC https://lat.ms/2RUCENl ",1
"Coronavirus Case Confirmed In Arizona, Bringing U.S. Total To 5  https://www.npr.org/sections/goatsandsoda/2020/01/26/799726161/coronavirus-case-confirmed-in-arizona-bringing-u-s-total-to-5?utm_source=dlvr.it&utm_medium=twitter …",1
"BREAKING: Epicenter of coronavirus outbreak reports 371 new cases and 24 new deaths, raising death toll to 80  https://bnonews.com/index.php/2020/01/the-latest-coronavirus-cases/ …",1
How coronavirus is beginning to hit China's economy @CNBC https://www.cnbc.com/2020/01/26/how-coronavirus-is-beginning-to-hit-chinas-economy.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter …,1
"[RTRS] - CHINA'S HUBEI PROVINCE SAYS 76 DEAD, 1423 CASES IN NEW #CORONAVIRUS OUTBREAK AS OF END OF JAN 26 - STATEMENT",1
"Risk Haven Assets update:
#Oil - US Crude  5299  -2.24%
#Gold  1584  +0.76%
#USDJPY  108.88  -0.36%
#VIX  16.88  +5.17%
#Bitcoin  8558.75  -0.3%
#coronavirus",0
Beijing warns number of coronavirus infections will continue to RISE as it hits back at claims of a cover-up #CoronavirusOutbreak https://trib.al/xWnqFUF ,0
"US confirms two more coronavirus cases, bringing total to five  https://www.theguardian.com/science/2020/jan/26/coronavirus-us-confirms-cases-california-arizona?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1580080141 …",1
Officials track passengers on flight with coronavirus patient  http://dlvr.it/RNpDL2 ,1
US health agency reports five confirmed cases of coronavirus  https://cna.asia/37tVa5P  pic.twitter.com/ShOdKqATGv,1
China: A Visit to the Coronavirus Epicenter in Wuhan  http://dlvr.it/RNp9rS  pic.twitter.com/O8rM4n71LD,1
Coronavirus worries dampens Lunar New Year celebrations in Metro Vancouver | CBC News  https://buff.ly/2O0BZZn  pic.twitter.com/KJfdt0wORk,1
"It sums up how shocking this year has been so far and yet its only January. Najwa Qassem's death, Iraq, the Ukrainian plane crash, Corona Virus and now Koby's death. I'd like to express informally from time to time on my account without being labeled.",1
The Government is scrambling to evacuate as many as 100 Australian children trapped in Wuhan the epicentre of the coronavirus outbreak in China. #TMS7 https://7news.com.au/news/health/fears-for-new-potential-coronavirus-victim-c-666202 …,1
Have you encountered any precautionary measures for coronavirus?  https://www.theguardian.com/science/2020/jan/22/have-you-encountered-any-precautionary-measures-for-coronavirus?CMP=share_btn_tw …,1
"It’s early morning in Asia. A lot of information online re Wuhan #coronavirus, but important to seek trusted sources always and especially during a developing outbreak.

#nCoV2019 #nCoV @WHOWPRO",1
"The test results for coronavirus in a Texas A&M graduate student came back negative Sunday, the university says -->  http://on.nbcdfw.com/Wcg5y9l  pic.twitter.com/qTvJwCiXPg",1
China's health minister makes a startling statement about the Wuhan coronavirus: He says people can spread it before they become symptomatic  http://bit.ly/2O2Cq5H ,1
"Chinese authorities say they are fighting a people's war against the new coronavirus with 56 people killed in China and at least 2,000 people infected globally  pic.twitter.com/DCXx0tA9Mr",1
"WHO chief traveling to Beijing to discuss #coronavirus outbreak with Chinese officials

 http://sptnkne.ws/BhPg ",1
China temporarily bans wildlife trade in wake of coronavirus outbreak! #IllegalWildlifeTrade #TraditionalChineseMedicine https://abcnews.go.com/Technology/wireStory/china-temporarily-bans-wildlife-trade-wake-outbreak-68539054 …,1
"Maureen Taylor is a front line health care worker who was CBC’s senior health reporter during SARS. She says a lot has changed with the Wuhan coronavirus, and there’s more pressure on China to be transparent, but that social media makes it more complicated.  pic.twitter.com/2xM45EoOd2",1
Every Asian person you meet is not a secret carrier of corona virus. Imagine if this came out of Britain and white people were the first victims. Legit questions exist about the virus’ origins but that doesn’t mean your neighbor is Typhoid Mary.,1
"""Infections with 2019-nCoV also are being reported in a growing number of countries internationally, including the United States."" @cdc
#respiratoryIllness #coronavirus #HealthAlert http://bit.ly/3aKdXfe ",1
"The mayor of China's Wuhan, epicenter of an outbreak of a coronavirus that has killed 56 and infected more than 2,000, said he expects another 1,000 new patients in the city, highlighting the immense pressure on Wuhan's infrastructure.  http://bit.ly/38HT96e ",1
BBC News - Coronavirus: Ivory Coast tests woman for China virus  https://www.bbc.com/news/world-africa-51258014 …,1
I don’t know how this asian diaspora rumormongering started but my Queens-dwelling Chinese health aides are freaking out about it. #coronavirus  pic.twitter.com/Ok9g0xce0C,1
"China's coronavirus blueprint: Freezing bus routes, closing schools and hailing motivational messages through  https://trib.al/r9Qcrwq ",1
A resident of Brazos County who was tested for coronavirus after returning to Texas from China is not afflicted with the same deadly strain that has killed dozens of people.  https://bit.ly/37v2QVk ,1
WHO: There is no evidence to declare the spread of coronavirus as a national emergency health concern so far,1
"Brent crude falls sharply on the Sunday night open to trade below $60 a barrel for 1st time in 2020, as Coronavirus fears mount. 

Fall comes despite rocket reportedly hitting US Emb in Baghdad and statement from Saudi energy minister trying to downplay Coronavirus impact #OOTT pic.twitter.com/Gqec31dMvc",1
5 Stocks That Could Pop as Coronavirus Fears Spread  https://on.barrons.com/30ZLzkz ,1
"Update: The Brazos County Health District confirmed negative results for the patient being tested for Coronavirus, according to the Brazos County Health District Facebook page.
 http://www.dailytoreador.com/news/texas-a-m-coronavirus-case-confirmed-negative/article_8a81386c-3e3e-11ea-b843-67a643230648.html …",1
"A fifth person in Australia has potentially contracted the new #coronavirus as the nation's Chief Medical Officer says more cases are ""highly likely"" to emerge.
 https://www.watoday.com.au/national/potential-fifth-australian-case-of-coronavirus-detected-with-more-highly-likely-20200126-p53uvg.html …",1
Southwest Airlines removes passenger 'flu symptoms' from plane in Maryland amid coronavirus concerns  https://www.dailymail.co.uk/news/article-7931857/Southwest-Airlines-removes-passenger-flu-symptoms-plane-Maryland-amid-coronavirus-concerns.html …,1
WHO says new coronavirus is not as deadly as severe acute respiratory syndrome (SARS)  http://www.cnn.ph  pic.twitter.com/yhvVkQ7x0z,0
"If you’ve recently travelled to Wuhan, China and have flu-like symptoms, seek medical advice. There has been an outbreak of a novel coronavirus in this region. Let staff know where you’ve travelled before attending any medical facility. More info here:  http://health.gov.au  pic.twitter.com/tKYTnWCv8M",1
